,language,project_name,total_commits,html_url
0,Python,pandas-dev/pandas,25044,https://github.com/pandas-dev/pandas
1,Python,ytdl-org/youtube-dl,17894,https://github.com/ytdl-org/youtube-dl
2,Python,apache/airflow,10920,https://github.com/apache/airflow
3,Python,PaddlePaddle/Paddle,29232,https://github.com/PaddlePaddle/Paddle
4,Python,python/cpython,108645,https://github.com/python/cpython
5,Python,home-assistant/core,31764,https://github.com/home-assistant/core
6,Python,numpy/numpy,24787,https://github.com/numpy/numpy
7,Python,matplotlib/matplotlib,37191,https://github.com/matplotlib/matplotlib
8,Python,ray-project/ray,6512,https://github.com/ray-project/ray
9,Python,saltstack/salt,109801,https://github.com/saltstack/salt
10,Python,PyTorchLightning/pytorch-lightning,3858,https://github.com/PyTorchLightning/pytorch-lightning
11,Python,zulip/zulip,39835,https://github.com/zulip/zulip
12,Python,django/django,29013,https://github.com/django/django
13,Python,streamlit/streamlit,3738,https://github.com/streamlit/streamlit
14,Python,RaRe-Technologies/gensim,4078,https://github.com/RaRe-Technologies/gensim
15,Python,StevenBlack/hosts,2436,https://github.com/StevenBlack/hosts
16,Python,bokeh/bokeh,18861,https://github.com/bokeh/bokeh
17,Python,aws/aws-cli,8826,https://github.com/aws/aws-cli
18,Python,RasaHQ/rasa,23587,https://github.com/RasaHQ/rasa
19,Python,kivy/kivy,12322,https://github.com/kivy/kivy
20,Python,ipython/ipython,24802,https://github.com/ipython/ipython
21,Python,getsentry/sentry,33075,https://github.com/getsentry/sentry
22,Python,scikit-learn/scikit-learn,26332,https://github.com/scikit-learn/scikit-learn
23,Python,tensorflow/models,6125,https://github.com/tensorflow/models
24,Python,apache/incubator-superset,6179,https://github.com/apache/incubator-superset
25,Python,iperov/DeepFaceLab,1082,https://github.com/iperov/DeepFaceLab
26,Python,ansible/ansible,50906,https://github.com/ansible/ansible
27,Python,timgrossmann/InstaPy,3192,https://github.com/timgrossmann/InstaPy
28,Python,explosion/spaCy,11676,https://github.com/explosion/spaCy
29,Python,sqlmapproject/sqlmap,9595,https://github.com/sqlmapproject/sqlmap
30,Python,jumpserver/jumpserver,5621,https://github.com/jumpserver/jumpserver
31,Python,d2l-ai/d2l-zh,3029,https://github.com/d2l-ai/d2l-zh
32,Python,ageitgey/face_recognition,211,https://github.com/ageitgey/face_recognition
33,Python,CorentinJ/Real-Time-Voice-Cloning,277,https://github.com/CorentinJ/Real-Time-Voice-Cloning
34,Python,deepfakes/faceswap,1195,https://github.com/deepfakes/faceswap
35,Python,OWASP/CheatSheetSeries,1014,https://github.com/OWASP/CheatSheetSeries
36,Python,fxsjy/jieba,523,https://github.com/fxsjy/jieba
37,Python,apachecn/AiLearning,164,https://github.com/apachecn/AiLearning
38,Python,matterport/Mask_RCNN,203,https://github.com/matterport/Mask_RCNN
39,Python,pypa/pipenv,7001,https://github.com/pypa/pipenv
40,Python,hankcs/HanLP,1365,https://github.com/hankcs/HanLP
41,Python,jackfrued/Python-100-Days,323,https://github.com/jackfrued/Python-100-Days
42,Python,tzutalin/labelImg,379,https://github.com/tzutalin/labelImg
43,Python,testerSunshine/12306,434,https://github.com/testerSunshine/12306
44,Python,tonybeltramelli/pix2code,23,https://github.com/tonybeltramelli/pix2code
45,Python,pyecharts/pyecharts,1509,https://github.com/pyecharts/pyecharts
