,num_parent_commits,merged_from_pull,lines_added,lines_deleted,lines_total,files_total,num_unique_file_formats,combined
0,2,True,186,95,281,10,2,pass
1,1,True,186,95,281,10,2,pass
2,2,True,6,11,17,2,2,pass
3,1,True,6,11,17,2,2,pass
4,2,True,2,2,4,2,1,pass
5,1,True,1,1,2,1,1,fail
6,1,True,1,1,2,1,1,fail
7,2,True,205,71,276,7,2,pass
8,2,True,2,1,3,1,1,pass
9,1,True,2,1,3,1,1,fail
10,1,True,205,71,276,7,2,pass
11,2,True,159,125,284,6,2,pass
12,1,True,2,2,4,1,1,pass
19,2,True,219,127,346,9,2,pass
20,1,True,1,1,2,1,1,pass
21,2,True,0,0,0,0,0,pass
25,1,True,8,1,9,1,1,pass
27,1,False,1,1,2,1,1,pass
28,2,True,1,0,1,1,1,fail
29,1,True,1,0,1,1,1,fail
31,2,True,120,201,321,7,2,pass
65,1,True,1,0,1,1,1,pass
68,2,True,1,0,1,1,1,pass
69,1,True,1,0,1,1,1,pass
70,2,True,200,119,319,6,1,pass
71,2,True,8,8,16,3,2,pass
72,2,True,28136,33,28169,33,12,pass
73,1,True,12,13,25,1,1,pass
74,1,True,2,1,3,1,1,pass
76,2,True,2,2,4,1,1,pass
79,1,True,2,2,4,1,1,pass
80,1,True,2,2,4,1,1,pass
81,2,True,1,0,1,1,1,pass
82,1,True,1,0,1,1,1,fail
83,1,True,28051,0,28051,26,11,fail
84,1,True,28051,0,28051,26,11,fail
85,2,True,20,11,31,2,2,pass
86,2,True,1,1,2,1,1,pass
87,1,True,18,9,27,1,1,fail
88,2,True,1,1,2,1,1,pass
89,1,True,2,2,4,1,1,fail
90,1,True,1,0,1,1,1,pass
91,1,True,1,1,2,1,1,pass
92,1,False,6,0,6,1,1,pass
93,1,False,2,1,3,1,1,fail
94,2,True,50,15,65,2,2,pass
95,2,True,0,0,0,0,0,pass
96,1,True,1,1,2,1,1,pass
98,1,True,6,0,6,1,1,pass
99,1,False,1,1,2,1,1,pass
100,1,False,2,2,4,1,1,pass
101,1,True,3,3,6,1,1,pass
102,1,True,1,1,2,1,1,pass
112,2,True,21,3158,3179,4,2,pass
117,2,True,21,3141,3162,4,2,pass
120,1,True,3,3,6,1,1,pass
121,1,True,18,136,154,1,1,fail
122,1,True,0,3002,3002,1,1,fail
123,1,True,1,1,2,1,1,fail
124,1,True,1,1,2,1,1,fail
125,2,True,270,134,404,8,2,pass
126,2,True,13,0,13,1,1,pass
131,1,True,13,0,13,1,1,pass
132,1,True,1,3,4,1,1,pass
133,1,True,99,51,150,3,1,fail
134,1,True,1,1,2,1,1,pass
135,2,True,1,1,2,1,1,pass
136,1,True,62,29,91,5,2,pass
137,1,True,1,1,2,1,1,pass
138,1,True,28,0,28,2,1,pass
139,1,True,71,55,126,4,2,pass
140,2,True,423,359,782,6,3,fail
141,2,True,3,2,5,2,2,pass
143,2,True,6,2,8,2,2,pass
144,1,True,342,341,683,1,1,pass
145,1,True,0,1,1,1,1,pass
146,1,True,5,1,6,2,1,fail
148,1,True,4,0,4,1,1,pass
149,1,True,2,2,4,1,1,pass
189,2,True,3,1,4,1,1,pass
190,1,True,3,1,4,1,1,pass
191,1,True,1,1,2,1,1,fail
192,2,True,4,4,8,2,1,fail
302,2,True,5,5,10,1,1,pass
303,1,True,5,5,10,1,1,pass
304,2,True,15,11,26,5,4,pass
305,1,True,7,0,7,1,1,pass
306,1,True,1,1,2,1,1,pass
307,1,True,0,4,4,1,1,pass
308,2,True,0,0,0,0,0,fail
310,2,True,0,0,0,0,0,fail
311,1,True,5,1,6,2,2,fail
312,1,True,0,4,4,1,1,pass
313,1,True,2,4,6,1,1,fail
315,1,True,7,5,12,1,1,fail
316,1,True,4,4,8,1,1,fail
317,1,True,4,2,6,1,1,fail
318,1,True,4,4,8,1,1,fail
319,1,True,0,7,7,1,1,fail
320,1,True,12,6,18,1,1,fail
321,2,True,8,1,9,2,2,pass
322,1,True,1,1,2,1,1,fail
323,1,True,7,0,7,1,1,fail
324,2,True,2,1,3,1,1,pass
325,1,True,2,1,3,1,1,pass
327,2,True,36,19,55,4,2,pass
328,1,True,7,0,7,1,1,pass
329,1,True,1,1,2,1,1,pass
330,1,True,15,15,30,1,1,pass
331,1,True,26,16,42,1,1,fail
332,1,True,3,3,6,1,1,fail
333,1,True,1,1,2,1,1,fail
334,1,True,16,16,32,2,1,fail
335,1,True,15,15,30,1,1,fail
336,2,True,113,239,352,11,2,pass
337,1,True,3,1,4,1,1,pass
338,1,True,0,4,4,1,1,pass
339,1,True,20,1,21,2,2,pass
340,2,True,1,1,2,1,1,pass
341,1,True,1,1,2,1,1,pass
342,2,True,7,0,7,1,1,pass
343,1,True,7,0,7,1,1,pass
344,2,True,6,0,6,1,1,pass
345,1,True,1,1,2,1,1,pass
346,1,True,6,0,6,1,1,fail
347,2,True,1,8,9,1,1,pass
348,1,True,1,1,2,1,1,pass
349,2,True,0,1,1,1,1,pass
350,2,True,19,196,215,1,1,fail
351,2,True,25,2,27,3,2,fail
352,2,True,1,1,2,1,1,fail
353,2,True,32,19,51,3,1,pass
354,2,True,4,4,8,2,1,pass
355,2,True,1,1,2,1,1,pass
356,2,True,3,2,5,2,1,fail
357,1,True,1,1,2,1,1,pass
358,1,True,1,1,2,1,1,pass
359,1,True,2,2,4,1,1,pass
362,2,True,2,1,3,1,1,pass
363,1,True,32,19,51,3,1,pass
364,1,True,1,1,2,1,1,pass
365,1,True,1,8,9,1,1,fail
366,1,True,2,1,3,1,1,pass
367,1,True,0,1,1,1,1,pass
368,1,True,15,0,15,1,1,pass
369,1,True,15,10,25,1,1,pass
370,1,True,14,196,210,1,1,fail
371,2,True,51,37,88,9,2,pass
372,1,True,10,2,12,2,2,pass
373,2,True,4,1,5,2,1,pass
374,2,True,5,5,10,1,1,pass
375,1,True,5,5,10,1,1,pass
376,1,True,2,1,3,1,1,pass
377,2,True,14,21,35,1,1,pass
378,2,True,2,4,6,1,1,pass
379,1,True,14,21,35,1,1,pass
380,1,True,2,4,6,1,1,pass
381,1,True,3,1,4,2,1,fail
382,1,True,3,3,6,2,1,pass
383,2,True,12,3,15,1,1,pass
384,1,True,1,2,3,1,1,pass
385,2,True,3,0,3,1,1,pass
386,2,True,1,1,2,1,1,pass
387,1,True,14,4,18,1,1,pass
388,1,True,3,0,3,1,1,pass
389,1,True,10,2,12,2,1,fail
390,1,True,1,1,2,1,1,pass
391,2,True,693,153,846,23,5,pass
392,2,True,34,16,50,3,1,pass
393,1,True,1,1,2,1,1,pass
394,1,True,6,5,11,2,1,pass
395,1,True,28,14,42,2,1,fail
397,2,True,10,11,21,1,1,pass
398,1,True,4,3,7,1,1,pass
399,1,True,1,0,1,1,1,pass
400,2,True,124,107,231,8,1,pass
401,1,True,1,0,1,1,1,pass
402,2,True,443,1,444,5,3,fail
403,1,True,5,5,10,1,1,pass
404,1,True,1,1,2,1,1,pass
405,1,True,2,4,6,1,1,fail
406,1,True,1,1,2,1,1,fail
407,1,True,6,1,7,2,1,fail
410,1,True,1,1,2,1,1,fail
411,1,True,1,0,1,1,1,pass
412,2,True,4,1,5,2,1,pass
413,1,True,1,0,1,1,1,pass
414,2,True,6,3,9,1,1,pass
415,1,True,15,1,16,2,2,pass
416,2,True,12,5,17,3,2,pass
417,1,True,1,1,2,1,1,pass
418,1,True,1,1,2,1,1,pass
419,1,True,0,1,1,1,1,fail
420,1,True,0,15,15,1,1,fail
421,2,True,5,1,6,1,1,pass
422,2,True,23,5,28,3,3,pass
423,2,True,6,1,7,1,1,pass
424,1,True,23,5,28,3,3,pass
425,2,True,11,5,16,1,1,pass
426,2,True,1,1,2,1,1,pass
427,2,True,103,86,189,9,2,pass
428,1,True,1,1,2,1,1,pass
429,1,True,58,23,81,5,1,pass
430,1,True,1,1,2,1,1,pass
431,1,True,8,10,18,1,1,fail
432,1,True,11,5,16,1,1,pass
433,1,True,4,1,5,1,1,pass
434,2,True,2,1,3,1,1,pass
435,1,True,2,1,3,1,1,pass
436,1,True,1,10,11,1,1,pass
437,1,True,1,3,4,1,1,pass
438,1,True,18,18,36,5,1,pass
439,1,True,2,2,4,1,1,pass
440,1,True,37,33,70,3,1,pass
441,1,True,2,1,3,1,1,fail
442,1,True,74,85,159,4,1,fail
443,2,True,6619,5342,11961,39,9,fail
444,1,True,0,3,3,1,1,pass
445,1,True,2,1,3,1,1,fail
446,2,True,7,3,10,2,2,pass
447,1,True,7,3,10,2,2,pass
